participant,Welcome_Screen:1,participant_code:1,age:1,gender:1,handedness:1,education:1,income:1,computer_hours:1,wcst_task:1,n_back_task:1,corsi_block_span_task:1,fitts_law:1,navon_task:1,TIME_start,TIME_end,TIME_total
s.bbbcdd77-0c68-4d04-b14f-124b7328d21f.txt,welcome_screen.2021-05-25-1716.data.bbbcdd77-0c68-4d04-b14f-124b7328d21f.txt,889968,40,2,1,4,6,60,WCST_Task.2021-05-25-1725.data.bbbcdd77-0c68-4d04-b14f-124b7328d21f.txt,N_Back_Task.2021-05-25-1731.data.bbbcdd77-0c68-4d04-b14f-124b7328d21f.txt,Corsi_Block_Span_Task.2021-05-25-1733.data.bbbcdd77-0c68-4d04-b14f-124b7328d21f.txt,Fitts_Law.2021-05-25-1736.data.bbbcdd77-0c68-4d04-b14f-124b7328d21f.txt,Navon_Task.2021-05-25-1740.data.bbbcdd77-0c68-4d04-b14f-124b7328d21f.txt,2021-05-25-17-16,2021-05-25-17-40,24,
s.099cae2a-bb3c-4c04-9438-d6babdacbd9c.txt,welcome_screen.2021-05-29-2129.data.099cae2a-bb3c-4c04-9438-d6babdacbd9c.txt,234513,33,2,1,3,4,6,WCST_Task.2021-05-29-2139.data.099cae2a-bb3c-4c04-9438-d6babdacbd9c.txt,N_Back_Task.2021-05-29-2144.data.099cae2a-bb3c-4c04-9438-d6babdacbd9c.txt,Corsi_Block_Span_Task.2021-05-29-2146.data.099cae2a-bb3c-4c04-9438-d6babdacbd9c.txt,Fitts_Law.2021-05-29-2148.data.099cae2a-bb3c-4c04-9438-d6babdacbd9c.txt,Navon_Task.2021-05-29-2151.data.099cae2a-bb3c-4c04-9438-d6babdacbd9c.txt,2021-05-29-21-29,2021-05-29-21-51,22,
s.31f64a0f-43b2-46c1-a8cf-e340d9cabedf.txt,welcome_screen.2021-05-25-1605.data.31f64a0f-43b2-46c1-a8cf-e340d9cabedf.txt,544638,49,1,1,2,7,9,WCST_Task.2021-05-25-1612.data.31f64a0f-43b2-46c1-a8cf-e340d9cabedf.txt,"","","","",2021-05-25-16-05,"",""
s.33073333-d51b-433f-8114-5e352c1427b2.txt,welcome_screen.2021-05-25-1556.data.33073333-d51b-433f-8114-5e352c1427b2.txt,552414,35,2,1,3,6,27,WCST_Task.2021-05-25-1606.data.33073333-d51b-433f-8114-5e352c1427b2.txt,N_Back_Task.2021-05-25-1612.data.33073333-d51b-433f-8114-5e352c1427b2.txt,Corsi_Block_Span_Task.2021-05-25-1614.data.33073333-d51b-433f-8114-5e352c1427b2.txt,Fitts_Law.2021-05-25-1615.data.33073333-d51b-433f-8114-5e352c1427b2.txt,Navon_Task.2021-05-25-1619.data.33073333-d51b-433f-8114-5e352c1427b2.txt,2021-05-25-15-55,2021-05-25-16-19,24,
s.adb16edb-24dd-4209-a65f-aa15a8b54dda.txt,welcome_screen.2021-05-25-1555.data.adb16edb-24dd-4209-a65f-aa15a8b54dda.txt,438865,49,2,1,2,2,20,WCST_Task.2021-05-25-1604.data.adb16edb-24dd-4209-a65f-aa15a8b54dda.txt,N_Back_Task.2021-05-25-1609.data.adb16edb-24dd-4209-a65f-aa15a8b54dda.txt,Corsi_Block_Span_Task.2021-05-25-1610.data.adb16edb-24dd-4209-a65f-aa15a8b54dda.txt,Fitts_Law.2021-05-25-1612.data.adb16edb-24dd-4209-a65f-aa15a8b54dda.txt,Navon_Task.2021-05-25-1615.data.adb16edb-24dd-4209-a65f-aa15a8b54dda.txt,2021-05-25-15-55,2021-05-25-16-15,20,
s.81a7e3fa-f815-4371-b329-98b602bfc5a2.txt,welcome_screen.2021-05-25-1643.data.81a7e3fa-f815-4371-b329-98b602bfc5a2.txt,440534,44,2,1,4,7,40,WCST_Task.2021-05-25-1653.data.81a7e3fa-f815-4371-b329-98b602bfc5a2.txt,N_Back_Task.2021-05-25-1658.data.81a7e3fa-f815-4371-b329-98b602bfc5a2.txt,Corsi_Block_Span_Task.2021-05-25-1700.data.81a7e3fa-f815-4371-b329-98b602bfc5a2.txt,Fitts_Law.2021-05-25-1702.data.81a7e3fa-f815-4371-b329-98b602bfc5a2.txt,Navon_Task.2021-05-25-1706.data.81a7e3fa-f815-4371-b329-98b602bfc5a2.txt,2021-05-25-16-42,2021-05-25-17-06,24,
s.a43402a1-c2b9-4354-b18d-2e678178428a.txt,welcome_screen.2021-05-25-1624.data.a43402a1-c2b9-4354-b18d-2e678178428a.txt,875596,25,2,1,4,9,95,WCST_Task.2021-05-25-1633.data.a43402a1-c2b9-4354-b18d-2e678178428a.txt,N_Back_Task.2021-05-25-1638.data.a43402a1-c2b9-4354-b18d-2e678178428a.txt,Corsi_Block_Span_Task.2021-05-25-1639.data.a43402a1-c2b9-4354-b18d-2e678178428a.txt,Fitts_Law.2021-05-25-1644.data.a43402a1-c2b9-4354-b18d-2e678178428a.txt,Navon_Task.2021-05-25-1648.data.a43402a1-c2b9-4354-b18d-2e678178428a.txt,2021-05-25-16-24,2021-05-25-16-48,24,
s.356c747c-255f-4e15-87be-a7f1c26f215b.txt,welcome_screen.2021-05-25-1617.data.356c747c-255f-4e15-87be-a7f1c26f215b.txt,823460,35,1,1,3,2,16,WCST_Task.2021-05-25-1625.data.356c747c-255f-4e15-87be-a7f1c26f215b.txt,N_Back_Task.2021-05-25-1630.data.356c747c-255f-4e15-87be-a7f1c26f215b.txt,Corsi_Block_Span_Task.2021-05-25-1632.data.356c747c-255f-4e15-87be-a7f1c26f215b.txt,Fitts_Law.2021-05-25-1633.data.356c747c-255f-4e15-87be-a7f1c26f215b.txt,Navon_Task.2021-05-25-1635.data.356c747c-255f-4e15-87be-a7f1c26f215b.txt,2021-05-25-16-16,2021-05-25-16-35,19,
s.7a1496fe-2eb2-4b0e-9447-b16d86511d6b.txt,welcome_screen.2021-05-25-1644.data.7a1496fe-2eb2-4b0e-9447-b16d86511d6b.txt,707688,28,1,1,4,3,0,"","","","","",2021-05-25-16-44,"",""
s.287bf05b-db6c-44f0-99d0-747ddef10c48.txt,welcome_screen.2021-05-25-1555.data.287bf05b-db6c-44f0-99d0-747ddef10c48.txt,461272,29,1,1,3,4,26,WCST_Task.2021-05-25-1602.data.287bf05b-db6c-44f0-99d0-747ddef10c48.txt,N_Back_Task.2021-05-25-1611.data.287bf05b-db6c-44f0-99d0-747ddef10c48.txt,Corsi_Block_Span_Task.2021-05-25-1612.data.287bf05b-db6c-44f0-99d0-747ddef10c48.txt,Fitts_Law.2021-05-25-1613.data.287bf05b-db6c-44f0-99d0-747ddef10c48.txt,Navon_Task.2021-05-25-1615.data.287bf05b-db6c-44f0-99d0-747ddef10c48.txt,2021-05-25-15-54,2021-05-25-16-15,21,
s.1aa7c87d-8645-40de-93fd-45ec81450396.txt,welcome_screen.2021-05-29-2248.data.1aa7c87d-8645-40de-93fd-45ec81450396.txt,162204,"","","","","","","","","","","",2021-05-29-22-48,"",""
s.f09dedf1-32d4-463e-a464-682f58fb4be4.txt,welcome_screen.2021-05-25-1555.data.f09dedf1-32d4-463e-a464-682f58fb4be4.txt,647658,62,2,1,3,4,4,WCST_Task.2021-05-25-1606.data.f09dedf1-32d4-463e-a464-682f58fb4be4.txt,N_Back_Task.2021-05-25-1612.data.f09dedf1-32d4-463e-a464-682f58fb4be4.txt,Corsi_Block_Span_Task.2021-05-25-1614.data.f09dedf1-32d4-463e-a464-682f58fb4be4.txt,Fitts_Law.2021-05-25-1616.data.f09dedf1-32d4-463e-a464-682f58fb4be4.txt,Navon_Task.2021-05-25-1620.data.f09dedf1-32d4-463e-a464-682f58fb4be4.txt,2021-05-25-15-55,2021-05-25-16-20,25,
