,participant,reward,status,action,rule,rule_correct,rule_used,n_t
245,844810.0,1,1,3,color,color,color,45
246,844810.0,1,1,3,color,color,color,46
247,844810.0,0,2,3,number,number,color,47
248,844810.0,0,2,3,number,number,color,48
249,844810.0,0,2,3,number,number,color,49
250,844810.0,0,2,3,number,number,color,50
251,844810.0,0,2,3,number,number,color,51
252,844810.0,1,1,2,number,number,number,52
253,844810.0,0,2,3,shape,shape,color,53
254,844810.0,0,2,3,shape,shape,color,54
255,844810.0,1,1,1,shape,shape,shape,55
256,844810.0,1,1,1,shape,shape,shape,56
257,844810.0,1,1,1,shape,shape,shape,57
258,844810.0,1,1,1,shape,shape,shape,58
259,844810.0,1,1,1,shape,shape,shape,59
260,844810.0,1,1,3,color,color,color,60
261,844810.0,1,1,3,color,color,color,61
262,844810.0,1,1,3,color,color,color,62
263,844810.0,1,1,3,color,color,color,63
264,844810.0,1,1,3,color,color,color,64
265,844810.0,1,1,1,shape,shape,shape,65
266,844810.0,1,1,1,shape,shape,shape,66
267,844810.0,1,1,1,shape,shape,shape,67
268,844810.0,1,1,1,shape,shape,shape,68
269,844810.0,1,1,1,shape,shape,shape,69
270,844810.0,0,2,1,number,number,shape,70
271,844810.0,0,2,3,number,number,color,71
272,844810.0,1,1,2,number,number,number,72
273,844810.0,1,1,2,number,number,number,73
274,844810.0,1,1,2,number,number,number,74
275,844810.0,1,1,2,number,number,number,75
276,844810.0,1,1,2,number,number,number,76
277,844810.0,0,2,3,shape,shape,color,77
278,844810.0,0,2,3,shape,shape,color,78
279,844810.0,1,1,1,shape,shape,shape,79
280,844810.0,1,1,1,shape,shape,shape,80
281,844810.0,1,1,1,shape,shape,shape,81
282,844810.0,1,1,1,shape,shape,shape,82
283,844810.0,1,1,3,color,color,color,83
284,844810.0,1,1,3,color,color,color,84
285,844810.0,1,1,3,color,color,color,85
286,844810.0,1,1,3,color,color,color,86
287,844810.0,1,1,3,color,color,color,87
288,844810.0,1,1,1,shape,shape,shape,88
289,844810.0,1,1,1,shape,shape,shape,89
290,844810.0,1,1,1,shape,shape,shape,90
291,844810.0,1,1,1,shape,shape,shape,91
292,844810.0,1,1,1,shape,shape,shape,92
293,844810.0,1,1,1,shape,shape,shape,93
294,844810.0,1,1,3,color,color,color,94
295,844810.0,1,1,3,color,color,color,95
296,844810.0,1,1,3,color,color,color,96
297,844810.0,1,1,3,color,color,color,97
298,844810.0,1,1,3,color,color,color,98
299,844810.0,1,1,3,color,color,color,99
300,388850.0,0,2,3,shape,shape,color,0
301,388850.0,0,2,3,shape,shape,color,1
302,388850.0,0,2,3,shape,shape,color,2
303,388850.0,1,1,1,shape,shape,shape,3
304,388850.0,1,1,1,shape,shape,shape,4
305,388850.0,1,1,1,shape,shape,shape,5
306,388850.0,1,1,1,shape,shape,shape,6
307,388850.0,1,1,1,shape,shape,shape,7
308,388850.0,1,1,1,shape,shape,shape,8
309,388850.0,1,1,1,shape,shape,shape,9
310,388850.0,0,2,1,number,number,shape,10
311,388850.0,0,2,3,number,number,color,11
312,388850.0,1,1,2,number,number,number,12
313,388850.0,0,2,1,number,number,shape,13
314,388850.0,1,1,2,number,number,number,14
315,388850.0,1,1,2,number,number,number,15
316,388850.0,1,1,2,number,number,number,16
317,388850.0,1,1,2,number,number,number,17
318,388850.0,1,1,2,number,number,number,18
319,388850.0,0,2,1,color,color,shape,19
320,388850.0,0,2,1,color,color,shape,20
321,388850.0,1,1,3,color,color,color,21
322,388850.0,1,1,3,color,color,color,22
323,388850.0,1,1,3,color,color,color,23
324,388850.0,1,1,3,color,color,color,24
325,388850.0,1,1,3,color,color,color,25
326,388850.0,1,1,3,color,color,color,26
327,388850.0,1,1,1,shape,shape,shape,27
328,388850.0,1,1,1,shape,shape,shape,28
329,388850.0,1,1,1,shape,shape,shape,29
330,388850.0,1,1,1,shape,shape,shape,30
331,388850.0,1,1,1,shape,shape,shape,31
332,388850.0,1,1,1,shape,shape,shape,32
333,388850.0,1,1,1,shape,shape,shape,33
334,388850.0,1,1,1,shape,shape,shape,34
335,388850.0,0,2,3,number,number,color,35
336,388850.0,1,1,2,number,number,number,36
337,388850.0,1,1,2,number,number,number,37
338,388850.0,1,1,2,number,number,number,38
339,388850.0,1,1,2,number,number,number,39
340,388850.0,1,1,2,number,number,number,40
341,388850.0,1,1,2,number,number,number,41
342,388850.0,0,2,1,color,color,shape,42
343,388850.0,1,1,3,color,color,color,43
344,388850.0,1,1,3,color,color,color,44
345,388850.0,1,1,3,color,color,color,45
346,388850.0,1,1,3,color,color,color,46
347,388850.0,0,2,1,number,number,shape,47
348,388850.0,1,1,2,number,number,number,48
349,388850.0,1,1,2,number,number,number,49
350,388850.0,1,1,2,number,number,number,50
351,388850.0,1,1,2,number,number,number,51
352,388850.0,1,1,2,number,number,number,52
353,388850.0,0,2,3,shape,shape,color,53
354,388850.0,1,1,1,shape,shape,shape,54
355,388850.0,1,1,1,shape,shape,shape,55
356,388850.0,1,1,1,shape,shape,shape,56
357,388850.0,1,1,1,shape,shape,shape,57
358,388850.0,1,1,1,shape,shape,shape,58
359,388850.0,1,1,1,shape,shape,shape,59
360,388850.0,1,1,3,color,color,color,60
361,388850.0,1,1,3,color,color,color,61
362,388850.0,1,1,3,color,color,color,62
363,388850.0,1,1,3,color,color,color,63
364,388850.0,1,1,3,color,color,color,64
365,388850.0,1,1,1,shape,shape,shape,65
366,388850.0,1,1,1,shape,shape,shape,66
367,388850.0,1,1,1,shape,shape,shape,67
368,388850.0,1,1,1,shape,shape,shape,68
369,388850.0,1,1,1,shape,shape,shape,69
370,388850.0,0,2,3,number,number,color,70
371,388850.0,1,1,2,number,number,number,71
372,388850.0,1,1,2,number,number,number,72
373,388850.0,0,2,1,number,number,shape,73
374,388850.0,1,1,2,number,number,number,74
375,388850.0,1,1,2,number,number,number,75
376,388850.0,1,1,2,number,number,number,76
377,388850.0,0,2,2,shape,shape,number,77
378,388850.0,1,1,1,shape,shape,shape,78
379,388850.0,1,1,1,shape,shape,shape,79
380,388850.0,1,1,1,shape,shape,shape,80
381,388850.0,1,1,1,shape,shape,shape,81
382,388850.0,1,1,1,shape,shape,shape,82
383,388850.0,1,1,3,color,color,color,83
384,388850.0,1,1,3,color,color,color,84
385,388850.0,1,1,3,color,color,color,85
386,388850.0,1,1,3,color,color,color,86
387,388850.0,1,1,3,color,color,color,87
388,388850.0,1,1,1,shape,shape,shape,88
389,388850.0,1,1,1,shape,shape,shape,89
390,388850.0,1,1,1,shape,shape,shape,90
391,388850.0,1,1,1,shape,shape,shape,91
392,388850.0,1,1,1,shape,shape,shape,92
393,388850.0,1,1,1,shape,shape,shape,93
394,388850.0,1,1,3,color,color,color,94
395,388850.0,1,1,3,color,color,color,95
396,388850.0,1,1,3,color,color,color,96
397,388850.0,1,1,3,color,color,color,97
398,388850.0,1,1,3,color,color,color,98
399,388850.0,1,1,3,color,color,color,99
400,951022.0,0,2,3,shape,shape,color,0
401,951022.0,1,1,1,shape,shape,shape,1
402,951022.0,1,1,1,shape,shape,shape,2
403,951022.0,1,1,1,shape,shape,shape,3
404,951022.0,1,1,1,shape,shape,shape,4
405,951022.0,1,1,1,shape,shape,shape,5
406,951022.0,1,1,1,shape,shape,shape,6
407,951022.0,1,1,1,shape,shape,shape,7
408,951022.0,1,1,1,shape,shape,shape,8
409,951022.0,1,1,1,shape,shape,shape,9
410,951022.0,0,2,3,number,number,color,10
411,951022.0,0,2,3,number,number,color,11
412,951022.0,0,2,1,number,number,shape,12
413,951022.0,1,1,2,number,number,number,13
414,951022.0,1,1,2,number,number,number,14
415,951022.0,1,1,2,number,number,number,15
416,951022.0,1,1,2,number,number,number,16
417,951022.0,1,1,2,number,number,number,17
418,951022.0,1,1,2,number,number,number,18
419,951022.0,0,2,1,color,color,shape,19
420,951022.0,0,2,1,color,color,shape,20
421,951022.0,1,1,3,color,color,color,21
422,951022.0,1,1,3,color,color,color,22
423,951022.0,1,1,3,color,color,color,23
424,951022.0,1,1,3,color,color,color,24
425,951022.0,1,1,3,color,color,color,25
426,951022.0,1,1,3,color,color,color,26
427,951022.0,1,1,1,shape,shape,shape,27
428,951022.0,1,1,1,shape,shape,shape,28
429,951022.0,1,1,1,shape,shape,shape,29
430,951022.0,1,1,1,shape,shape,shape,30
431,951022.0,1,1,1,shape,shape,shape,31
432,951022.0,1,1,1,shape,shape,shape,32
433,951022.0,1,1,1,shape,shape,shape,33
434,951022.0,1,1,1,shape,shape,shape,34
435,951022.0,0,2,1,number,number,shape,35
436,951022.0,1,1,2,number,number,number,36
437,951022.0,1,1,2,number,number,number,37
438,951022.0,1,1,2,number,number,number,38
439,951022.0,1,1,2,number,number,number,39
440,951022.0,1,1,2,number,number,number,40
441,951022.0,1,1,2,number,number,number,41
442,951022.0,0,2,,color,color,no rule,42
443,951022.0,0,2,1,color,color,shape,43
444,951022.0,1,1,3,color,color,color,44
445,951022.0,1,1,3,color,color,color,45
446,951022.0,1,1,3,color,color,color,46
447,951022.0,0,2,1,number,number,shape,47
448,951022.0,1,1,2,number,number,number,48
449,951022.0,1,1,2,number,number,number,49
450,951022.0,1,1,2,number,number,number,50
451,951022.0,1,1,2,number,number,number,51
452,951022.0,1,1,2,number,number,number,52
453,951022.0,0,2,2,shape,shape,number,53
454,951022.0,1,1,1,shape,shape,shape,54
455,951022.0,1,1,1,shape,shape,shape,55
456,951022.0,1,1,1,shape,shape,shape,56
457,951022.0,1,1,1,shape,shape,shape,57
458,951022.0,1,1,1,shape,shape,shape,58
459,951022.0,1,1,1,shape,shape,shape,59
460,951022.0,1,1,3,color,color,color,60
461,951022.0,1,1,3,color,color,color,61
462,951022.0,1,1,3,color,color,color,62
463,951022.0,1,1,3,color,color,color,63
464,951022.0,1,1,3,color,color,color,64
465,951022.0,1,1,1,shape,shape,shape,65
466,951022.0,1,1,1,shape,shape,shape,66
467,951022.0,1,1,1,shape,shape,shape,67
468,951022.0,1,1,1,shape,shape,shape,68
469,951022.0,1,1,1,shape,shape,shape,69
470,951022.0,0,2,3,number,number,color,70
471,951022.0,1,1,2,number,number,number,71
472,951022.0,1,1,2,number,number,number,72
473,951022.0,1,1,2,number,number,number,73
474,951022.0,1,1,2,number,number,number,74
475,951022.0,1,1,2,number,number,number,75
476,951022.0,1,1,2,number,number,number,76
477,951022.0,0,2,2,shape,shape,number,77
478,951022.0,1,1,1,shape,shape,shape,78
479,951022.0,1,1,1,shape,shape,shape,79
480,951022.0,1,1,1,shape,shape,shape,80
481,951022.0,1,1,1,shape,shape,shape,81
482,951022.0,1,1,1,shape,shape,shape,82
483,951022.0,1,1,3,color,color,color,83
484,951022.0,1,1,3,color,color,color,84
485,951022.0,1,1,3,color,color,color,85
486,951022.0,1,1,3,color,color,color,86
487,951022.0,1,1,3,color,color,color,87
488,951022.0,1,1,1,shape,shape,shape,88
489,951022.0,1,1,1,shape,shape,shape,89
490,951022.0,1,1,1,shape,shape,shape,90
491,951022.0,1,1,1,shape,shape,shape,91
492,951022.0,1,1,1,shape,shape,shape,92
493,951022.0,1,1,1,shape,shape,shape,93
494,951022.0,1,1,3,color,color,color,94
495,951022.0,1,1,3,color,color,color,95
496,951022.0,1,1,3,color,color,color,96
497,951022.0,1,1,3,color,color,color,97
498,951022.0,1,1,3,color,color,color,98
499,951022.0,1,1,3,color,color,color,99
500,739085.0,0,2,3,shape,shape,color,0
501,739085.0,0,2,3,shape,shape,color,1
502,739085.0,0,2,3,shape,shape,color,2
503,739085.0,1,1,1,shape,shape,shape,3
504,739085.0,1,1,1,shape,shape,shape,4
505,739085.0,1,1,1,shape,shape,shape,5
506,739085.0,1,1,1,shape,shape,shape,6
507,739085.0,1,1,1,shape,shape,shape,7
508,739085.0,1,1,1,shape,shape,shape,8
509,739085.0,1,1,1,shape,shape,shape,9
